Frame 0: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 41: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 41: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 41: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 42: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 42: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 42: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 43: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 43: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 43: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 44: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 44: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 44: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 45: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 45: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 45: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 46: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 46: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 46: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 47: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 47: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 47: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 48: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 48: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 48: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 49: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 49: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 49: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 50: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 50: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 50: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 51: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 51: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 51: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 52: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 52: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 52: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 53: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 53: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 53: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 54: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 54: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 54: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 55: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 55: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 55: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 56: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 56: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 56: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 57: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 57: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 57: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 58: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 58: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 58: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 59: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 59: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 59: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 60: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 60: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 60: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 61: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 61: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 61: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 62: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 62: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 62: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 63: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 63: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 63: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 64: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 64: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 64: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 65: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 65: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 65: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 66: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 66: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 66: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 67: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 67: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 67: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 68: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 68: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 68: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 69: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 69: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 69: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 70: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 70: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 70: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 71: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 71: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 71: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 72: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 72: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 72: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 73: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 73: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 73: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 74: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 74: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 74: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 75: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 75: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 75: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 76: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 76: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 76: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 77: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 77: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 77: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 78: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 78: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 78: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 79: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 79: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 79: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 80: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 80: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 80: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 81: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 81: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 81: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 82: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 82: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 82: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 83: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 83: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 83: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 84: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 84: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 84: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 85: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 85: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 85: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 86: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 86: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 86: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 87: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 87: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 87: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 88: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 88: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 88: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 89: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 89: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 89: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 90: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 90: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 90: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 91: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 91: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 91: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 92: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 92: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 92: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 93: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 93: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 93: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 94: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 94: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 94: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 95: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 95: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 95: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 96: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 96: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 96: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 97: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 97: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 97: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 98: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 98: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 98: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 99: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 99: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 99: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 100: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 100: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 100: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 100: ('light', 'shines', 'sun') → REJECTED (A↔B)
Frame 101: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 101: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 101: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 102: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 102: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 102: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 103: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 103: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 103: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 104: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 104: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 104: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 105: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 105: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 105: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 106: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 106: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 106: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 107: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 107: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 107: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 108: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 108: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 108: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 109: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 109: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 109: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 110: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 110: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 110: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 111: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 111: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 111: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 112: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 112: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 112: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 113: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 113: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 113: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 114: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 114: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 114: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 115: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 115: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 115: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 116: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 116: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 116: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 117: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 117: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 117: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 118: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 118: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 118: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 119: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 119: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 119: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 120: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 120: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 120: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 121: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 121: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 121: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 122: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 122: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 122: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 123: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 123: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 123: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 124: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 124: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 124: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 125: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 125: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 125: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 126: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 126: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 126: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 127: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 127: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 127: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 128: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 128: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 128: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 129: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 129: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 129: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 130: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 130: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 130: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 131: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 131: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 131: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 132: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 132: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 132: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 133: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 133: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 133: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 134: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 134: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 134: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 135: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 135: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 135: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 136: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 136: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
