Frame 0: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 28: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 29: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 29: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 29: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 30: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 30: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 30: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 31: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 31: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 31: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 32: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 32: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 32: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 33: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 33: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 33: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 34: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 34: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 34: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 35: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 35: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 35: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 36: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 36: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 36: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 37: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 37: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 37: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 38: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 38: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 38: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 39: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 39: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 39: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 40: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 40: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 40: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 41: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 41: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 41: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 42: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 42: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 42: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 43: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 43: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 43: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 44: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 44: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 44: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 45: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 45: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 45: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 46: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 46: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 46: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 47: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 47: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 47: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 48: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 48: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 48: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 49: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 49: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 49: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 50: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 50: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 50: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 51: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 51: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 51: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 52: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 52: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 52: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 53: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 53: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 53: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 54: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 54: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 54: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 55: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 55: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 55: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 56: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 56: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 56: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 57: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 57: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 57: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 58: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 58: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 58: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 59: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 59: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 59: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 60: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 60: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 60: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 61: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 61: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 61: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 62: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 62: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 62: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 63: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 63: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 63: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 64: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 64: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 64: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 65: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 65: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 65: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 66: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 66: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 66: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 67: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 67: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 67: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 68: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 68: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 68: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 69: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 69: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 69: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 70: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 70: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 70: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 71: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 71: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 71: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 72: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 72: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 72: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 73: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 73: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 73: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 74: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 74: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 74: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 75: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 75: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 75: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 76: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 76: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 76: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 77: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 77: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 77: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 78: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 78: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 78: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 79: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 79: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 79: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 80: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 80: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 80: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 81: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 81: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 81: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 82: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 82: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 82: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 83: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 83: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 83: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 84: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 84: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 84: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 85: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 85: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 85: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 86: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 86: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 86: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 87: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 87: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 87: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 88: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 88: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 88: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 89: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 89: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 89: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 90: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 90: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 90: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 91: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 91: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 91: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 92: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 92: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 92: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 93: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 93: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 93: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 94: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 94: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 94: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 95: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 95: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 95: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 96: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 96: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 96: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 97: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 97: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 97: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 98: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 98: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 98: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 99: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 99: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 99: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 100: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 100: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 100: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 100: ('light', 'carries', 'little weight') → ACCEPTED (A↔B) [ambiguous]
Frame 101: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 101: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 101: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 102: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 102: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 102: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 103: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 103: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 103: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 104: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 104: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 104: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 105: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 105: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 105: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 106: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 106: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 106: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 107: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 107: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 107: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 108: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 108: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 108: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 109: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 109: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 109: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 110: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 110: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 110: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 111: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 111: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 111: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 112: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 112: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 112: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 113: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 113: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 113: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 114: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 114: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 114: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 115: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 115: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 115: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 116: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 116: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 116: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 117: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 117: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 117: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 118: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 118: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 118: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 119: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 119: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 119: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 120: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 120: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 120: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 121: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 121: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 121: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 122: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 122: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 122: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 123: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 123: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 123: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 124: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 124: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 124: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 125: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 125: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 125: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 126: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 126: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 126: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 127: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 127: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 127: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 128: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 128: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 128: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 129: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 129: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 129: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 130: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 130: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 130: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 131: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 131: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 131: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 132: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 132: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 132: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 133: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 133: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 133: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 134: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 134: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 134: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 135: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 135: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 135: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 136: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 136: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
